timestamp,device_id,voltage,current,power,light_raw
2025-12-07T23:24:44,esp32-01,0,0.282,0,0
2025-12-07T23:24:46,esp32-01,0,0.295,0,0
2025-12-07T23:24:48,esp32-01,0,0.295,0,0
2025-12-07T23:24:51,esp32-01,0,0.282,0,0
2025-12-07T23:24:53,esp32-01,0,0.282,0,0
2025-12-07T23:24:55,esp32-01,0,0.269,0,0
2025-12-07T23:24:57,esp32-01,0,0.295,0,0
2025-12-07T23:24:59,esp32-01,0,0.282,0,0
2025-12-07T23:25:01,esp32-01,0,0.256,0,0
2025-12-07T23:25:03,esp32-01,0,0.269,0,0
2025-12-07T23:25:05,esp32-01,0,0.269,0,0
2025-12-07T23:25:07,esp32-01,0,0.282,0,0
2025-12-07T23:25:09,esp32-01,0,0.282,0,0
2025-12-07T23:25:12,esp32-01,0,0.269,0,0
2025-12-07T23:25:14,esp32-01,0,0.269,0,0
2025-12-07T23:25:16,esp32-01,0,0.282,0,0
2025-12-07T23:25:18,esp32-01,0,0.282,0,0
2025-12-07T23:25:20,esp32-01,0,0.256,0,0
2025-12-07T23:25:22,esp32-01,0,0.269,0,0
2025-12-07T23:25:24,esp32-01,0,0.269,0,0
2025-12-07T23:25:26,esp32-01,0,0.269,0,0
2025-12-07T23:25:28,esp32-01,0,0.295,0,0
2025-12-07T23:25:30,esp32-01,0,0.295,0,0
2025-12-07T23:25:33,esp32-01,0,0.295,0,0
2025-12-07T23:25:35,esp32-01,0,0.282,0,0
2025-12-07T23:25:37,esp32-01,0,0.282,0,0
2025-12-07T23:25:39,esp32-01,0,0.282,0,0
2025-12-07T23:25:41,esp32-01,0,0.269,0,0
2025-12-07T23:25:43,esp32-01,0,0.269,0,0
2025-12-07T23:25:45,esp32-01,0,0.269,0,0
2025-12-07T23:25:47,esp32-01,0,0.295,0,0
2025-12-07T23:25:49,esp32-01,0,0.295,0,0
2025-12-07T23:25:51,esp32-01,0,0.282,0,0
2025-12-07T23:25:54,esp32-01,0,0.282,0,0
2025-12-07T23:25:56,esp32-01,0,0.256,0,0
2025-12-07T23:25:58,esp32-01,0,0.295,0,0
2025-12-07T23:26:00,esp32-01,0,0.282,0,0
2025-12-07T23:26:02,esp32-01,0,0.269,0,0
2025-12-07T23:26:04,esp32-01,0,0.282,0,0
2025-12-07T23:26:06,esp32-01,0,0.269,0,0
2025-12-07T23:26:08,esp32-01,0,0.269,0,0
2025-12-07T23:26:10,esp32-01,0,0.295,0,0
2025-12-07T23:26:12,esp32-01,0,0.295,0,0
2025-12-07T23:26:15,esp32-01,0,0.282,0,0
2025-12-07T23:26:17,esp32-01,0,0.282,0,0
2025-12-07T23:26:19,esp32-01,0,0.269,0,0
2025-12-07T23:26:21,esp32-01,0,0.269,0,0
2025-12-07T23:26:23,esp32-01,0,0.256,0,0
2025-12-07T23:26:25,esp32-01,0,0.282,0,0
2025-12-07T23:26:27,esp32-01,0,0.269,0,0
2025-12-07T23:26:29,esp32-01,0,0.256,0,0
2025-12-07T23:26:31,esp32-01,0,0.256,0,0
2025-12-07T23:26:33,esp32-01,0,0.256,0,0
2025-12-07T23:26:36,esp32-01,0,0.295,0,0
2025-12-07T23:26:38,esp32-01,0,0.256,0,0
2025-12-07T23:26:40,esp32-01,0,0.269,0,0
2025-12-07T23:26:42,esp32-01,0,0.282,0,0
2025-12-07T23:26:44,esp32-01,0,0.269,0,0
2025-12-07T23:26:46,esp32-01,0,0.282,0,0
2025-12-07T23:26:48,esp32-01,0,0.269,0,0
2025-12-07T23:26:50,esp32-01,0,0.256,0,0
2025-12-07T23:26:52,esp32-01,0,0.282,0,0
2025-12-07T23:26:54,esp32-01,0,0.256,0,0
2025-12-07T23:26:57,esp32-01,0,0.282,0,0
2025-12-07T23:26:59,esp32-01,0,0.295,0,0
2025-12-07T23:27:01,esp32-01,0,0.295,0,0
2025-12-07T23:27:03,esp32-01,0,0.269,0,0
2025-12-07T23:27:05,esp32-01,0,0.295,0,0
2025-12-07T23:27:07,esp32-01,0,0.282,0,0
2025-12-07T23:27:09,esp32-01,0,0.282,0,0
2025-12-07T23:27:11,esp32-01,0,0.295,0,0
2025-12-07T23:27:13,esp32-01,0,0.295,0,0
2025-12-07T23:27:15,esp32-01,0,0.295,0,0
2025-12-07T23:27:18,esp32-01,0,0.282,0,0
2025-12-07T23:27:20,esp32-01,0,0.269,0,0
2025-12-07T23:27:22,esp32-01,0,0.282,0,0
2025-12-07T23:27:24,esp32-01,0,0.282,0,0
2025-12-07T23:27:26,esp32-01,0,0.269,0,0
2025-12-07T23:27:28,esp32-01,0,0.282,0,0
2025-12-07T23:27:30,esp32-01,0,0.308,0,0
2025-12-07T23:27:32,esp32-01,0,0.295,0,0
2025-12-07T23:27:34,esp32-01,0,0.269,0,0
2025-12-07T23:27:36,esp32-01,0,0.308,0,0
2025-12-07T23:27:39,esp32-01,0,0.282,0,0
2025-12-07T23:27:41,esp32-01,0,0.269,0,0
2025-12-07T23:27:43,esp32-01,0,0.282,0,0
2025-12-07T23:27:45,esp32-01,0,0.269,0,0
